FEATURE,IMPORTANCE
num__CURRENT_POP,0.76803815
num__LOG_CURRENT_POP,0.2058377
num__CURRENT_TARGET_AREA_M2,0.010916656
num__LOG_ALAN_M2,0.0047589
num__ALAN_M2,0.0026972345
cat__ILCE_BORNOVA,0.0022896018
num__ILCE_MAHALLE_SAYISI,0.0010026441
num__ILCE_TOPLAM_NUFUS,0.00076988473
cat__ILCE_BAYRAKLI,0.0006210319
num__ARTIS_HIZI_BINDE,0.00061655365
cat__ILCE_MENEMEN,0.00045320872
num__CURRENT_EXTRA_AREA_GAP_M2,0.00042444005
num__ILCE_RISK_ORANI,0.00031066453
num__ILCE_ORTALAMA_KISI_BASI_ALAN,0.00027408122
num__CURRENT_PER_CAPITA_M2,0.00023572164
num__CURRENT_YEAR,0.00021897587
cat__ILCE_KONAK,0.00016891392
cat__ILCE_KARSIYAKA,0.00016850876
cat__ILCE_KEMALPASA,7.852753e-05
cat__ILCE_BUCA,4.969978e-05
cat__ILCE_GAZIEMIR,4.6146226e-05
cat__ILCE_CIGLI,2.2746877e-05
num__IS_CURRENT_RISK,0.0
cat__ILCE_BALCOVA,0.0
cat__ILCE_BEYDAG,0.0
cat__ILCE_BERGAMA,0.0
cat__ILCE_BAYINDIR,0.0
cat__ILCE_ALIAGA,0.0
cat__ILCE_GUZELBAHCE,0.0
cat__ILCE_FOCA,0.0
cat__ILCE_DIKILI,0.0
cat__ILCE_CESME,0.0
cat__ILCE_KARABAGLAR,0.0
cat__ILCE_KINIK,0.0
cat__ILCE_KIRAZ,0.0
cat__ILCE_KARABURUN,0.0
cat__ILCE_MENDERES,0.0
cat__ILCE_NARLIDERE,0.0
cat__ILCE_ODEMIS,0.0
cat__ILCE_SEFERIHISAR,0.0
cat__ILCE_SELCUK,0.0
cat__ILCE_TIRE,0.0
cat__ILCE_TORBALI,0.0
cat__ILCE_URLA,0.0
